Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
A31SD028100580,S RES 1/16W 10M +-5% 0402,1,402,16,10000000,0.05
A31SD028100A80,S RES 1/16W 10 +-5% 0402,1,402,16,10,0.05
A31SD028100B80,S RES 1/16W 1 +-5% 0402,1,402,16,1,0.05
A31SD028150080,S RES 1/16W 150 +-5% 0402,1,402,16,150,0.05
A31SD028150180,S RES 1/16W 1.5K +-5% 0402,1,402,16,1500,0.05
A31SD028150380,S RES 1/16W 150K +-5% 0402,1,402,16,150000,0.05
A31SD028150A80,S RES 1/16W 15 +-5% 0402,1,402,16,15,0.05
A31SD028200080,S RES 1/16W 200 +-5% 0402,1,402,16,200,0.05
A31SD028200280,S RES 1/16W 20K +-5% 0402,1,402,16,20000,0.05
A31SD028200380,S RES 1/16W 200K +-5% 0402,1,402,16,200000,0.05
A31SD028200480,S RES 1/16W 2M +-5% 0402,1,402,16,2000000,0.05
A31SD028220080,S RES 1/16W 220 +-5% 0402,1,402,16,220,0.05
A31SD028470180,S RES 1/16W 4.7K +-5% 0402,1,402,16,4700,0.05
A31SD028470B80,S RES 1/16W 4.7 +-5% 0402,1,402,16,4.7,0.05
A31SD028510280,S RES 1/16W 51K +-5% 0402,1,402,16,51000,0.05
A31SD028510380,S RES 1/16W 510K +-5% 0402,1,402,16,510000,0.05
A31SD028510A80,S RES 1/16W 51 +-5% 0402,1,402,16,51,0.05
A31SD028560280,S RES 1/16W 56K +-5% 0402,1,402,16,56000,0.05
A31SD028820180,S RES 1/16W 8.2K +-5% 0402,1,402,16,8200,0.05
A31SD034100080,S RES 1/16W 100 +-1% 0402,1,402,16,100,0.01
A31SD034100080L,S RES 1/16W 100 +-1% 0402,1,402,16,100,0.01
A31SD034100180,S RES 1/16W 1K +-1% 0402,1,402,16,1000,0.01
A31SD034100280,S RES 1/16W 10K +-1% 0402,1,402,16,10000,0.01
A31SD034100380,S RES 1/16W 100K +-1% 0402,1,402,16,100000,0.01
A31SD034100480,S RES 1/16W 1M +-1% 0402,1,402,16,1000000,0.01
A31SD034100A80,S RES 1/16W 10 +-1% 0402,1,402,16,10,0.01
